Borough,No. of Criminal Incidents,Population,Crime Rate (per 1000 residents)
Barking and Dagenham,20140,175600,114.7
Barnet,26108,343100,76.1
Bexley,15778,225900,69.8
Brent,28847,255500,112.9
Bromley,24555,310200,79.2
Camden,33967,231200,146.9
Croydon,33124,342800,96.6
Ealing,33210,316600,104.9
Enfield,24180,291200,83
Greenwich,26339,226100,116.5
Hackney,28961,216000,134.1
Hammersmith and Fulham,23179,169700,136.6
Haringey,26272,225500,116.5
Harrow,15286,228100,67
Havering,17142,234100,73.2
Hillingdon,24924,262500,94.9
Hounslow,23504,234200,100.4
Islington,28858,191800,150.5
Kensington and Chelsea,20837,169900,122.6
Kingston upon Thames,11130,166700,66.8
Lambeth,35084,283300,123.8
Lewisham,29825,264500,112.8
Merton,14786,206400,71.6
Newham,33373,241200,138.4
Redbridge,24057,267700,89.9
Richmond upon Thames,11695,189000,61.9
Southwark,36766,285600,128.7
Sutton,13137,192200,68.4
Tower Hamlets,27147,234800,115.6
Waltham Forest,27492,224300,122.6
Wandsworth,25660,286600,89.5
Westminster,63856,249400,256
