"Table 16. Population Estimates by Broad Age Groups, London Boroughs, 2009, thousands",,,,,,,,
< Back to Front Sheet,,,,,,,,
,,,,,,,,
,,,,,,Percentage of Total,,
,Total (thousands),0-15,16-Retirment Age1,Retirement Age+,,0-15,16-Retirment Age,Retirement Age+
,,,,,,,,
City of London,11.5,0.8,9.3,1.4,,7,80.9,12.2
Barking and Dagenham,175.6,43.4,108.6,23.6,,24.7,61.8,13.4
Barnet,343.1,69.5,217.5,56.1,,20.3,63.4,16.4
Bexley,225.9,45.3,137.8,42.8,,20.1,61,18.9
Brent,255.5,51.5,166,38,,20.2,65,14.9
Bromley,310.2,60.7,188.8,60.7,,19.6,60.9,19.6
Camden,231.2,35.5,170.5,25.3,,15.4,73.7,10.9
Croydon,342.8,71.1,218.6,53.1,,20.7,63.8,15.5
Ealing,316.6,60.5,214.3,41.9,,19.1,67.7,13.2
Enfield,291.2,63.1,182.7,45.5,,21.7,62.7,15.6
Greenwich,226.1,48,147.8,30.4,,21.2,65.4,13.4
Hackney,216,46.8,147.4,21.8,,21.7,68.2,10.1
Hammersmith and Fulham,169.7,28.6,120.5,20.7,,16.9,71,12.2
Haringey,225.5,44.3,155.7,25.5,,19.6,69,11.3
Harrow,228.1,43.8,146.6,37.7,,19.2,64.3,16.5
Havering,234.1,44.3,141.4,48.5,,18.9,60.4,20.7
Hillingdon,262.5,53.4,168.5,40.6,,20.3,64.2,15.5
Hounslow,234.2,45.3,159.6,29.4,,19.3,68.1,12.6
Islington,191.8,30.4,141.3,20.1,,15.8,73.7,10.5
Kensington and Chelsea,169.9,27.4,113.8,28.7,,16.1,67,16.9
Kingston upon Thames,166.7,29.8,113.1,23.8,,17.9,67.8,14.3
Lambeth,283.3,49,207,27.3,,17.3,73.1,9.6
Lewisham,264.5,52.6,182.2,29.7,,19.9,68.9,11.2
Merton,206.4,37.9,140.2,28.4,,18.4,67.9,13.8
Newham,241.2,59.9,157.7,23.6,,24.8,65.4,9.8
Redbridge,267.7,57.6,170.9,39.2,,21.5,63.8,14.6
Richmond upon Thames,189,37,122.8,29.1,,19.6,65,15.4
Southwark,285.6,50,205.9,29.7,,17.5,72.1,10.4
Sutton,192.2,38.3,122.2,31.7,,19.9,63.6,16.5
Tower Hamlets,234.8,45.8,170,19.1,,19.5,72.4,8.1
Waltham Forest,224.3,48.9,147.2,28.2,,21.8,65.6,12.6
Wandsworth,286.6,46.8,208.3,31.5,,16.3,72.7,11
Westminster,249.4,31.7,185.7,32,,12.7,74.5,12.8
London,"7,753.60","1,498.70","5,189.80","1,065.00",,19.3,66.9,13.7
,,,,,,,,
1 Retirement age is taken as 60 for females and 65 for males.,,,,,,,,
,,,,,,,,
"Source: Office for National Statistics, mid-year estimates",,,,,,,,
